"id","name","type","desc","atk","def","level","rank","linkval","race","attribute","archetype","cardmarket_price","tcgplayer_price","amazon_price","coolstuffinc_price","image_url","image_url_small"
"99937011","Mudora the Sword Oracle","Effect Monster","You can discard 1 other EARTH Fairy monster; Special Summon this card from your hand, then you can place 1 """"Gravekeeper's Trap"""" from your Deck face-up in your Spell & Trap Zone. (Quick Effect): You can banish this card from your field or GY, then target up to 3 cards in any GY(s), or up to 5 if """"Exchange of the Spirit"""" is on your field or in your GY; shuffle them into the Deck. You can only use each effect of """"Mudora the Sword Oracle"""" once per turn.","1500","1800","","","","Fairy","EARTH","","","","","","",""
"99927991","Adamancipator Friends","Normal Spell","Excavate the top cards of your Deck equal to the number of Rock monsters you control +5, and if you do, you can add to your hand 1 excavated Rock monster with a Level equal to or lower than the number of the excavated cards, also place the remaining cards on the bottom of your Deck in any order. For the rest of this turn after this card resolves, you cannot Special Summon monsters, except Rock monsters.","None","None","","","","Normal","","","","","","","",""
"99916754","Naturia Exterio","Fusion Effect Monster","""""Naturia Beast"""" + """"Naturia Barkion"""" A Fusion Summon of this card can only be conducted with the above Fusion Material Monsters. While this card is face-up on the field, you can negate the activation of a Spell/Trap Card, and destroy it, by removing from play 1 card from your Graveyard, then sending the top card of your Deck to the Graveyard.","2800","2400","","","","Beast","EARTH","","","","","","",""
"99913726","Predaplant Drosophyllum Hydra","Effect Monster","You can Special Summon this card (from your hand or GY) by Tributing 1 monster on either player's field with a Predator Counter. You can only Special Summon """"Predaplant Drosophyllum Hydra"""" once per turn this way. If this card is on the field or in your GY (Quick Effect): You can banish 1 other """"Predaplant"""" monster from your GY, then target 1 face-up monster on the field; it loses 500 ATK. You can only use this effect of """"Predaplant Drosophyllum Hydra"""" once per turn.","800","2300","","","","Plant","DARK","","","","","","",""
"99910751","Mokey Mokey Adrift","Effect Monster","This card's name becomes """"Mokey Mokey"""" and is treated as a Normal Monster while face-up on the field or in the GY. You can discard this card; add 1 """"Mokey Mokey"""" card from your Deck to your hand, except """"Mokey Mokey Adrift"""".","300","100","","","","Fairy","LIGHT","","","","","","",""
"99902789","Chow Chow Chan","Effect Monster","When your opponent activates a Normal Trap Card in response to your monster's attack declaration targeting an opponent's monster: You can discard this card; negate the activation, and if you do, destroy that card (this is a Quick Effect).","800","800","","","","Beast","EARTH","","","","","","",""
"99899504","Skull Flame","Effect Monster","Once per turn, you can Special Summon 1 """"Burning Skull Head"""" from your hand. You cannot conduct your Battle Phase the turn you activate this effect. You can add 1 """"Burning Skull Head"""" from your Graveyard to your hand instead of conducting a normal draw in your Draw Phase.","2600","2000","","","","Zombie","FIRE","","","","","","",""
"9989792","Triamid Fortress","Field Spell","All Rock-Type monsters on the field gain 500 DEF. """"Triamid"""" monsters on the field cannot be destroyed by card effects. If this face-up card in the Field Zone is sent to the Graveyard: You can target 1 """"Triamid"""" monster in your Graveyard; add it to your hand. You can only use this effect of """"Triamid Fortress"""" once per turn.","None","None","","","","Field","","","","","","","",""
"99890852","Trickstar Bouquet","Quick-Play Spell","Target 1 """"Trickstar"""" monster you control and 1 face-up monster on the field; return that """"Trickstar"""" monster to the hand, and if you do, the other monster gains ATK equal to the original ATK of the returned monster, until the end of this turn. You can only activate 1 """"Trickstar Bouquet"""" per turn.","None","None","","","","Quick-Play","","","","","","","",""
"99885917","Marincess Pascalus","Effect Monster","If this card is Normal or Special Summoned: You can Special Summon 1 """"Marincess"""" monster from your hand in Defense Position, except """"Marincess Pascalus"""". During your Main Phase, except the turn this card was sent to the GY: You can banish this card from your GY, then target 1 """"Marincess"""" Spell/Trap in your GY; add it to your hand. You can only use each effect of """"Marincess Pascalus"""" once per turn.","1200","2000","","","","Cyberse","WATER","","","","","","",""
"99877698","Gravekeeper's Cannonholder","Effect Monster","You can Tribute 1 """"Gravekeeper's"""" monster, except """"Gravekeeper's Cannonholder""""; inflict 700 damage to your opponent.","1400","1200","","","","Spellcaster","DARK","","","","","","",""
"99865167","Wind Effigy","Effect Monster","This card can be treated as 2 Tributes for the Tribute Summon of a WIND Normal Monster.","1800","200","","","","Winged Beast","WIND","","","","","","",""
"99861526","Submarineroid","Effect Monster","This card can attack your opponent directly, but when it does so using this effect, the battle damage inflicted to your opponent is the original ATK of this card. At the end of the Damage Step, if this card attacked or was attacked: You can change this card to Defense Position.","800","1800","","","","Machine","WATER","","","","","","",""
"99801464","Sari of the Silverwing Axe","Effect Monster","(Quick Effect): You can target 1 face-up monster on the field; equip this card from your hand or field to it. It gains 100 ATK/DEF. You can only use this effect of """"Sari of the Silverwing Axe"""" once per turn.","500","100","","","","Machine","LIGHT","","","","","","",""
"99795159","Ghostrick Mansion","Field Spell","Monsters cannot attack face-down Defense Position monsters, but can attack directly if all monsters their opponent controls are face-down Defense Position. All effect damage, and battle damage inflicted by monsters other than """"Ghostrick"""" monsters, is halved.","None","None","","","","Field","","","","","","","",""
"99792080","Phantasos, the Dream Mirror Foe","Effect Monster","If this card is Special Summoned by the effect of a """"Dream Mirror"""" monster: This card can attack directly this turn. During the Main or Battle Phase, if """"Dream Mirror of Joy"""" is in a Field Zone (Quick Effect): You can Tribute this card; Special Summon 1 """"Phantasos, the Dream Mirror Friend"""" from your Deck. You can only use each effect of """"Phantasos, the Dream Mirror Foe"""" once per turn.","1900","900","","","","Beast-Warrior","DARK","","","","","","",""
"99789342","Dark Magic Curtain","Normal Spell","Pay half your LP; Special Summon 1 """"Dark Magician"""" from your Deck. You cannot Summon other monsters the turn you activate this card (but you can Set).","None","None","","","","Normal","","","","","","","",""
"99788587","Blasting Fuse","Normal Trap","Activate only when all zones of this card's column are occupied. Destroy all cards in this column.","None","None","","","","Normal","","","","","","","",""
"9978697","X-Saber Perina","Tuner Effect Monster","If this card is Normal or Special Summoned: You can send this card to the GY; Special Summon 2 """"X-Saber"""" monsters from your Deck, except """"X-Saber Perina"""", but destroy them during the End Phase. If this card is sent to the GY as material for an """"X-Saber"""" Synchro Monster: You can apply 1 of these effects. ● It can make a second attack during each Battle Phase. ● It can attack directly. You can only use each effect of """"X-Saber Perina"""" once per turn.","1700","300","","","","Beast-Warrior","EARTH","","","","","","",""
"99785935","Alpha The Magnet Warrior","Normal Monster","''Alpha, Beta, and Gamma meld as one to form a powerful monster.''","1400","1700","","","","Rock","EARTH","","","","","","",""
"99748883","Meteor Rush - Monochroid","Effect Monster","During the Battle Phase, if 5 or more attacks have been declared this turn (Quick Effect): You can Special Summon this card from your hand. You can only use this effect of """"Meteor Rush - Monochroid"""" once per turn. If this card battles, it gains 1000 ATK for each attack declared this turn, during the Damage Step only.","0","0","","","","Machine","EARTH","","","","","","",""
"99747800","Legendary Fiend","Effect Monster","Once per turn, during your Standby Phase: This card gains 700 ATK.","1500","1800","","","","Fiend","DARK","","","","","","",""
"99745551","Danger!? Tsuchinoko?","Effect Monster","You can reveal this card in your hand; your opponent randomly chooses 1 card from your entire hand, then you discard the chosen card. Then, if the discarded card was not """"Danger!? Tsuchinoko?"""", Special Summon 1 """"Danger!? Tsuchinoko?"""" from your hand, and if you do, draw 1 card. If this card is discarded: You can Special Summon this card. You can only use this effect of """"Danger!? Tsuchinoko?"""" once per turn.","1300","0","","","","Reptile","DARK","","","","","","",""
"99742859","Rescue Hedgehog","Effect Monster","You can banish this card you control; Special Summon 2 Level 3 or lower monsters from your Deck with the same Type, Attribute, and Level as each other (1 Normal Monster and 1 Effect Monster), but their effects are negated, also destroy them during the End Phase. You can only use this effect of """"Rescue Hedgehog"""" once per turn.","300","100","","","","Beast","EARTH","","","","","","",""
"99735427","Shadow-Imprisoning Mirror","Continuous Trap","Negate all DARK monster effects activated on the field or in the Graveyard.","None","None","","","","Continuous","","","","","","","",""
"99733359","Stegocyber","Effect Monster","During damage calculation, if your opponent's monster attacks while this card is in your Graveyard: You can pay 1000 LP; Special Summon this card, and if you do, you take no battle damage from that battle, but banish this card when it leaves the field (this is a Quick Effect). You can only use this effect of """"Stegocyber"""" once per turn.","1200","2400","","","","Dinosaur","DARK","","","","","","",""
"99726621","Tri-Brigade Shuraig the Ominous Omen","Link Effect Monster","2+ Beast, Beast-Warrior, and/or Winged Beast monsters If this card is Special Summoned, or if another Beast, Beast-Warrior, or Winged Beast monster(s) is Special Summoned to your field: You can banish 1 card on the field. If this card is sent to the GY: You can add 1 Beast, Beast-Warrior, or Winged Beast monster from your Deck to your hand, whose Level is less than or equal to the number of your banished Beast, Beast-Warrior, and Winged Beast monsters. You can only use each effect of """"Tri-Brigade Shuraig the Ominous Omen"""" once per turn.","3000","None","","","","Winged Beast","DARK","","","","","","",""
"99724761","XZ-Tank Cannon","Fusion Effect Monster","""""X-Head Cannon"""" + """"Z-Metal Tank"""" Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control. (You do not use """"Polymerization"""".) Cannot be Special Summoned from the Graveyard. You can discard 1 card, then target 1 face-down Spell/Trap Card your opponent controls; destroy that target.","2400","2100","","","","Machine","LIGHT","","","","","","",""
"99721536","Dokurorider","Ritual Monster","This monster can only be Ritual Summoned with the Ritual Spell Card, """"Revival of Dokurorider"""". You must also offer monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand.","1900","1850","","","","Zombie","DARK","","","","","","",""
"99707692","Raidraptor - Noir Lanius","Effect Monster","During your Main Phase, if this card was Normal or Special Summoned this turn: You can target 1 """"Raidraptor"""" monster you control; add 1 """"Raidraptor"""" monster with a different Level than that monster from your Deck to your hand. You can banish this card from your GY; increase or decrease the Levels of all """"Raidraptor"""" monsters you currently control by 1. You can only use each effect of """"Raidraptor - Noir Lanius"""" once per turn.","1600","500","","","","Winged Beast","DARK","","","","","","",""
"99690140","Gravekeeper's Vassal","Effect Monster","Any battle damage this card inflicts to your opponent is treated as effect damage instead.","700","500","","","","Spellcaster","DARK","","","","","","",""
"99675356","Shien's Footsoldier","Effect Monster","When this card is destroyed by battle and sent to the Graveyard: You can Special Summon 1 Level 3 or lower """"Six Samurai"""" monster from your Deck.","700","300","","","","Warrior","EARTH","","","","","","",""
"99674361","World Legacy Succession","Normal Spell","Target 1 monster in your GY; Special Summon it to your zone a Link Monster points to. You can only activate 1 """"World Legacy Succession"""" per turn.","None","None","","","","Normal","","","","","","","",""
"99668578","Satellarknight Procyon","Effect Monster","If this card is Summoned: You can send 1 """"tellarknight"""" monster from your hand to the Graveyard, and if you do, draw 1 card. You can only use this effect of """"Satellarknight Procyon"""" once per turn.","1300","1200","","","","Warrior","LIGHT","","","","","","",""
"99666430","Jinzo - Layered","Xyz Effect Monster","2 Level 6 monsters You can detach 1 material from this card, then target 1 face-up monster your opponent controls; take control of it until the End Phase, but it cannot activate its effects or declare an attack. If a Trap is on the field: You can Tribute 1 monster, and if you do, destroy 1 face-up card on the field. You can only use each effect of """"Jinzo - Layered"""" once per turn.","2400","1500","","","","Machine","DARK","","","","","","",""
"99659159","Dragon Mastery","Continuous Spell","Each monster you control that is equipped with a """"Dragunity"""" monster(s) gains 500 ATK. Once per turn, you can select 1 face-up monster you control, and equip it with 1 Dragon-Type """"Dragunity"""" monster from your hand.","None","None","","","","Continuous","","","","","","","",""
"99657399","Asleep at the Switch","Normal Trap","When your opponent gains Life Points: Target 1 monster your opponent controls; destroy that target.","None","None","","","","Normal","","","","","","","",""
"99645428","Gem-Knight Lapis","Normal Monster","The best of friends with Lazuli, this soldier deeply cares about the well-being of her friends.","1200","100","","","","Rock","EARTH","","","","","","",""
"99641328","Sylvan Komushroomo","Effect Monster","When this card is flipped face-up: You can choose a number from 1 to 5, then excavate that many cards from the top of your Deck, send any excavated Plant-Type monsters to the Graveyard, also place the other cards on the bottom of your Deck in any order. If this card is excavated from the Deck and sent to the Graveyard by a card effect: You can target 1 Spell/Trap Card on the field; destroy that target.","100","2000","","","","Plant","FIRE","","","","","","",""
"99634927","Abyss Actor - Funky Comedian","Pendulum Effect Monster","If this card is Normal or Special Summoned: You can make this card gain 300 ATK for each """"Abyss Actor"""" monster you currently control, until the end of this turn. You can target 1 other """"Abyss Actor"""" monster you control; it gains ATK equal to this card's current ATK, until the end of this turn. This card cannot attack the turn this effect is activated. You can only use this effect of """"Abyss Actor - Funky Comedian"""" once per turn.","300","200","","","","Fiend","DARK","","","","","","",""
"99628747","Megalith Bethor","Ritual Effect Monster","You can Ritual Summon this card with a """"Megalith"""" card. You can discard this card; Ritual Summon 1 """"Megalith"""" Ritual Monster from your hand, by Tributing monsters from your hand or field whose total Levels equal or exceed its Level. If this card is Ritual Summoned: You can target cards your opponent controls, up to the number of Ritual Monsters with different names in your GY; destroy them. You can only use each effect of """"Megalith Bethor"""" once per turn.","1500","2600","","","","Rock","EARTH","","","","","","",""
"99599062","Earthbound Fusion","Quick-Play Spell","You can only activate this card during the Main Phase, unless a card is in a Field Zone. Fusion Summon 1 DARK Fusion Monster from your Extra Deck, using monsters from your hand or field as material. During your Main Phase, if a card is in a Field Zone: You can banish this card from your GY; Special Summon 1 """"Earthbound"""" monster from your hand or GY, also you cannot Special Summon from the Extra Deck for the rest of this turn, except Fusion or Synchro Monsters. You can only use this effect of """"Earthbound Fusion"""" once per turn.","None","None","","","","Quick-Play","","","","","","","",""
"99597615","Malevolent Nuzzler","Equip Spell","The equipped monster gains 700 ATK. When this card is sent from the field to the Graveyard: You can pay 500 LP; place this card on the top of your Deck.","None","None","","","","Equip","","","","","","","",""
"99594764","Dragunity Corsesca","Tuner Effect Monster","This effect can only be activated while this card is equipped to a monster. If the equipped monster destroys an opponent's monster by battle, you can add 1 Level 4 or lower monster from your Deck to your hand with the same Type and Attribute as the monster this card is equipped to.","800","700","","","","Dragon","WIND","","","","","","",""
"99590524","Treacherous Trap Hole","Normal Trap","If you have no Trap Cards in your Graveyard: Target 2 monsters on the field; destroy those targets.","None","None","","","","Normal","","","","","","","",""
"99585850","Red Supernova Dragon","Synchro Effect Monster","3 Tuners + 1+ non-Tuner Synchro Monsters Must first be Synchro Summoned. Gains 500 ATK for each Tuner in your GY. Cannot be destroyed by your opponent's card effects. Once per turn, when your opponent's monster effect is activated, or when an opponent's monster declares an attack (Quick Effect): You can activate this effect; banish this card, also banish all cards your opponent controls. Once per turn, during your next End Phase after this card was banished by its own effect: Special Summon this banished card.","4000","3000","","","","Dragon","DARK","","","","","","",""
"99581584","Guard Penguin","Effect Monster","When you take damage from a card effect (except during the Damage Step): You can Special Summon this card from your hand, and if you do, gain LP equal to the damage you took.","0","1200","","","","Winged Beast","WATER","","","","","","",""
"99551425","Labyrinth Tank","Fusion Monster","""""Giga-Tech Wolf"""" + """"Cannon Soldier""""","2400","2400","","","","Machine","DARK","","","","","","",""
"99550630","Sky Striker Maneuver - Afterburners!","Normal Spell","If you control no monsters in your Main Monster Zone: Target 1 face-up monster on the field; destroy it, then, if you have 3 or more Spells in your GY, you can destroy 1 Spell/Trap on the field.","None","None","","","","Normal","","","","","","","",""
"99543666","Despia, Theater of the Branded","Field Spell","During your Main Phase: You can Fusion Summon 1 Level 8 or higher Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material. If a face-up non-Fusion Fairy monster you control leaves the field by an opponent's card effect, or is destroyed by battle: You can target 1 Level 8 or higher Fusion Monster in your GY; Special Summon it. You can only use each effect of """"Despia, Theater of the Branded"""" once per turn.","None","None","","","","Field","","","","","","","",""
"99532708","Alien Mars","Effect Monster","The effects of Effect Monsters with A-Counters are negated, except for """"Alien Mars"""".","1000","1000","","","","Reptile","FIRE","","","","","","",""
"99531088","Jurassic Power","Continuous Spell","All Dinosaur monsters you control gain 300 ATK. You can Normal Summon Level 5 or higher Dinosaur monsters without Tributing. You can send 1 Dinosaur monster from your hand or face-up field to the GY; add 1 Dinosaur monster with 1200 DEF from your Deck to your hand. You can only use this effect of """"Jurassic Power"""" once per turn.","None","None","","","","Continuous","","","","","","","",""
"99529628","Keaf, Murk of the Ghoti","Effect Monster","If a Fish monster is on the field: You can Special Summon this card from your hand. If a monster(s) is Special Summoned to your opponent's field (except during the Damage Step): You can target 1 of those monsters and 1 of your banished Level 6 or lower Fish monsters; banish both that opponent's monster and this card, and if you do, Special Summon your targeted monster. During the Standby Phase of the next turn after this card was banished: You can Special Summon this banished card. You can only use each effect of """"Keaf, Murk of the Ghoti"""" once per turn.","0","1500","","","","Fish","WATER","","","","","","",""
"99523325","Gravekeeper's Stele","Normal Spell","Target 2 """"Gravekeeper's"""" monsters in your GY; add those targets to your hand. This effect cannot be negated by the effect of """"Necrovalley"""".","None","None","","","","Normal","","","","","","","",""
"9952083","Chain Summoning","Quick-Play Spell","Activate as Chain Link 3 or higher: You can conduct up to 3 Normal Summons/Sets this turn, not just 1. You cannot activate this card if multiple cards with the same name, or the effects of such cards, are already activated in that Chain.","None","None","","","","Quick-Play","","","","","","","",""
"99518961","Restructer Revolution","Normal Spell","Inflict 200 points of damage to your opponent's Life Points for each card in your opponent's hand.","None","None","","","","Normal","","","","","","","",""
"99517131","The Spell Absorbing Life","Normal Trap","Flip all face-down Defense Position Monster Cards on the field face-up. Flip Effects are not activated at this time. Increase your Life Points by 400 points for each Effect Monster Card on the field.","None","None","","","","Normal","","","","","","","",""
"99510761","Lord of the Lamp","Normal Monster","This spirit emerges from the mystic lamp and obeys the wishes of its summoner.","1400","1200","","","","Fiend","DARK","","","","","","",""
"99471856","Crystron Tristaros","Tuner Effect Monster","When your opponent activates a card or effect (Quick Effect): You can Special Summon 1 """"Crystron"""" monster from your Deck, except """"Crystron Tristaros"""", then immediately after this effect resolves, Synchro Summon 1 Machine Synchro Monster using monsters you control, including that monster. You can banish this card from your GY; destroy 1 Synchro Monster you control, and if you do, Special Summon 2 """"Crystron"""" monsters from your Deck, also you cannot Special Summon from the Extra Deck for the rest of this turn, except Machine monsters. You can only use each effect of """"Crystron Tristaros"""" once per turn.","800","2000","","","","Machine","WATER","","","","","","",""
"99469936","Full Armored Crystalzero Lancer","Xyz Effect Monster","3 Level 6 WATER monsters You can also Xyz Summon this card by using a Rank 5 WATER Xyz Monster you control as the Xyz Material. (Xyz Materials attached to that monster also become Xyz Materials on this card.) This card gains 500 ATK for each Xyz Material attached to it. If this face-up card would be destroyed, you can detach 1 Xyz Material from this card instead. Once per turn: You can detach 1 Xyz Material from this card; all face-up monsters your opponent controls have their effects negated until the end of this turn.","2200","1600","","","","Warrior","WATER","","","","","","",""
"99458769","Reign-Beaux, Overlord of Dark World","Effect Monster","If this card is discarded from your hand to your Graveyard by an opponent's card effect: Special Summon this card from the Graveyard. When this card is Special Summoned this way: Destroy all monsters your opponent controls OR all Spell/Trap Cards they control.","2500","1800","","","","Fiend","DARK","","","","","","",""
"99456344","Dramaturge of Despia","Effect Monster","If a Fusion, Synchro, Xyz, or Link Monster is Special Summoned (except during the Damage Step): You can target 1 Effect Monster on the field; negate its effects until the end of this turn. If this card in your hand or field is used as Fusion Material, and sent to the GY or banished: You can Special Summon this card. You can only use each effect of """"Dramaturge of Despia"""" once per turn.","3000","1500","","","","Fairy","DARK","","","","","","",""
"99429730","Sylvan Guardioak","Effect Monster","Once per turn: You can choose a number from 1 to 3, then excavate that many cards from the top of your Deck, send any excavated Plant-Type monsters to the Graveyard, also place the other cards on the bottom of your Deck in any order. If this card is excavated from the Deck and sent to the Graveyard by a card effect: You can target 1 other Plant-Type monster in your Graveyard; place that target on the top of your Deck.","2400","1500","","","","Plant","EARTH","","","","","","",""
"99427357","Cyber Angel Natasha","Ritual Effect Monster","You can Ritual Summon this card with """"Machine Angel Ritual"""". Once per turn: You can target 1 face-up monster you control; gain LP equal to half its ATK. When a Ritual Monster you control is targeted for an attack: You can negate the attack. If this card is in the Graveyard: You can banish 1 other """"Cyber Angel"""" monster from your Graveyard, then target 1 monster your opponent controls; Special Summon this card, and if you do, take control of that monster.","1000","1000","","","","Fairy","LIGHT","","","","","","",""
"99426834","Beastking of the Swamps","Effect Monster","You can substitute this card for any 1 Fusion Material Monster. When you do this, the other Fusion Material Monster(s) must be the correct one(s).","1000","1100","","","","Aqua","WATER","","","","","","",""
"99426088","Magikey Maftea","Normal Spell","Fusion Summon 1 """"Magikey"""" Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material, OR Ritual Summon 1 """"Magikey"""" Ritual Monster from your hand, by Tributing monsters from your hand or field whose total Levels equal or exceed its Level. If you control a Normal Monster, you can also send 1 Normal Monster from your Deck to the GY as material or Tribute.","None","None","","","","Normal","","","","","","","",""
"99423156","Shiranui Spiritmaster","Effect Monster","When this card is Normal Summoned: You can Special Summon 1 """"Shiranui"""" monster from your hand or GY, except """"Shiranui Spiritmaster"""", but banish it when it leaves the field. If this card is banished: You can target 1 face-up card your opponent controls; destroy it. You can only use this effect of """"Shiranui Spiritmaster"""" once per turn.","1500","0","","","","Zombie","FIRE","","","","","","",""
"99414629","Dinomorphia Brute","Normal Trap","Pay half your LP; destroy 1 """"Dinomorphia"""" monster you control and 1 card your opponent controls. When your opponent activates a card or effect, while your LP are 2000 or less: You can banish this card from your GY; you take no effect damage from your opponent's card effects this turn. You can only activate 1 """"Dinomorphia Brute"""" per turn.","None","None","","","","Normal","","","","","","","",""
"99414168","Elemental Mistress Doriado","Ritual Effect Monster","This card can only be Ritual Summoned with the Ritual Spell Card, """"Doriado's Blessing"""". The Attribute of this card is also treated as WIND, WATER, FIRE, and EARTH while it is face-up on the field.","1200","1400","","","","Spellcaster","LIGHT","","","","","","",""
"9940036","Mereologic Aggregator","Xyz Effect Monster","2+ Level 9 monsters If this card is Xyz Summoned: You can send 1 monster from your Extra Deck to the GY. You can target monsters in your GY, up to the number of materials this card has; detach materials from this card equal to the number of those targets in the GY, and if you do, attach those targets to this card as material. If this card is sent to the GY: You can target 1 face-up card on the field; negate its effects until the end of this turn. You can only use each effect of """"Mereologic Aggregator"""" once per turn.","2600","3000","","","","Cyberse","DARK","","","","","","",""
"99397762","Cipher Bit","Normal Trap","Target 1 """"Galaxy-Eyes"""" or """"Cipher"""" Xyz Monster you control; attach this card to it as an Xyz Material, and if you do, the next time it would be destroyed by battle or card effect this turn, it is not destroyed.","None","None","","","","Normal","","","","","","","",""
"99370594","Ghost Sleeper, the Underworld Princess","Effect Monster","If this card is sent to the GY: You can add 1 """"Ghost Fusion"""" from your Deck to your hand. If this card is in your GY, except the turn it was sent there: You can banish this card and discard 1 card, then target 1 of your banished Level 4 or higher Zombie monsters; add it to your hand. You can only use each effect of """"Ghost Sleeper, the Underworld Princess"""" once per turn.","1300","0","","","","Zombie","DARK","","","","","","",""
"99365553","Lightpulsar Dragon","Effect Monster","You can Special Summon this card (from your hand) by banishing 1 LIGHT and 1 DARK monster from your GY. You can Special Summon this card (from your GY) by sending 1 LIGHT and 1 DARK monster from your hand to the GY. When this card is sent from the field to the GY: You can target 1 Level 5 or higher DARK Dragon monster in your GY; Special Summon that target.","2500","1500","","","","Dragon","LIGHT","","","","","","",""
"99357565","D Cubed","Effect Monster","If this card is Normal Summoned: It is also treated as a """"Destiny HERO"""" monster while face-up on the field. You can only use each of the following effects of """"D Cubed"""" once per turn. ● You can discard up to 2 cards; Special Summon """"D Cubed"""" from your hand, Deck, and/or GY, equal to the number discarded, also for the rest of this turn, you cannot Normal or Special Summon other monsters, except """"Destiny HERO"""" monsters. ● If this card is destroyed by battle or card effect: You can send 1 """"Destiny HERO"""" monster from your Deck to the GY.","0","0","","","","Machine","DARK","","","","","","",""
"99351431","The Secret of the Bandit","Normal Spell","This card can only be activated during Main Phase 1. Select 1 face-up monster on the field. Each time the selected monster inflicts Battle Damage to your opponent's Life Points this turn, your opponent discards 1 random card.","None","None","","","","Normal","","","","","","","",""
"99348756","Valkyrian Knight","Effect Monster","Monsters your opponent controls cannot target face-up Warrior-Type monsters for attacks, except """"Valkyrian Knight"""". When this card is destroyed by battle and sent to the Graveyard: You can banish 1 Warrior-Type monster and this card from your Graveyard, then target 1 Level 5 or higher Warrior-Type monster in your Graveyard; Special Summon that target.","1900","1200","","","","Warrior","FIRE","","","","","","",""
"99342953","Code A Ancient Ruins","Continuous Spell","Each time a face-up """"Alien"""" monster(s) is destroyed, place 1 A-Counter on this card. Once per turn, you can remove 2 A-Counters from anywhere on the field to Special Summon 1 """"Alien"""" monster from your Graveyard.","None","None","","","","Continuous","","","","","","","",""
